M, u(M), chi(M), m(M)
311, -0.28, 0.04, 0.04
312, -0.28, 0.64, -0.16
313, -0.44, 0.16, -0.08
314, -0.36, 0.36, -0.12
315, -0.44, 0.36, 0.12
316, -0.36, 0.04, 0.04
317, -0.2, 0.36, -0.12
318, 0.04, 0.04, -0.04
319, -0.44, 1.96, -0.28
320, -0.44, 1.96, -0.28
321, -0.44, 0.64, -0.16
322, -0.28, 0.04, -0.04
323, -0.04, 1, -0.2
324, -0.6, 0.64, -0.16
325, -0.44, 0.36, 0.12
326, -0.76, 1, -0.2
327, -0.44, 0.16, -0.08
328, -0.52, 4, 0.4
329, -0.68, 3.24, 0.36
330, -0.76, 2.56, 0.32
331, -0.44, 0.64, 0.16
332, -0.6, 1.96, 0.28
333, -0.6, 1.96, 0.28
334, -0.68, 0, 0
335, -0.68, 0.16, 0.08
336, -0.52, 0.16, -0.08
337, -0.6, 0.36, -0.12
338, -0.6, 0.16, -0.08
339, -0.36, 0.64, 0.16
340, -0.36, 0.04, 0.04
341, -0.36, 0, 0
342, -0.44, 0.36, -0.12
343, -0.68, 0.04, -0.04
344, -0.76, 0.04, -0.04
345, -0.52, 0.36, 0.12
346, -0.52, 0.04, -0.04
347, -0.52, 1, 0.2
348, -0.6, 2.56, 0.32
349, -0.52, 3.24, 0.36
350, -0.36, 4, 0.4
351, -0.44, 1.96, 0.28
352, -0.76, 1.96, 0.28
353, -0.44, 2.56, 0.32
354, -0.52, 0, 0
355, -0.52, 0.16, -0.08
356, -0.52, 0.04, -0.04
357, -0.52, 1.44, -0.24
358, -0.28, 0.16, -0.08
359, -0.44, 4.84, 0.44
360, -0.52, 3.24, 0.36
361, -0.28, 2.56, 0.32
362, -0.28, 1.96, 0.28
363, -0.44, 0.16, -0.08
364, -0.36, 0, 0
365, -0.44, 0.36, 0.12
366, -0.44, 1.44, -0.24
367, -0.36, 0.36, 0.12
368, -0.36, 0.16, -0.08
369, -0.36, 1, 0.2
370, -0.68, 0, 0
371, -0.28, 0, 0
372, -0.44, 1, -0.2
373, -0.36, 0.16, 0.08
374, -0.52, 1.44, 0.24
375, -0.52, 0.16, -0.08
376, -0.36, 0.16, 0.08
377, -0.36, 1, 0.2
378, -0.52, 0.16, 0.08
379, -0.44, 0.36, -0.12
380, -0.52, 1.44, 0.24
381, -0.6, 2.56, 0.32
382, -0.6, 3.24, 0.36
383, -0.44, 5.76, 0.48
384, -0.28, 3.24, 0.36
385, -0.76, 3.24, 0.36
386, -0.6, 5.76, 0.48
387, -0.52, 2.56, 0.32
388, -0.52, 1.44, 0.24
389, -0.6, 0.16, 0.08
390, -0.6, 0.04, -0.04
391, -0.36, 0.16, 0.08
392, -0.36, 0, 0
393, -0.52, 1, 0.2
394, -0.6, 0.36, 0.12
395, -0.36, 0.16, 0.08
396, -0.36, 1.44, 0.24
397, -0.52, 0.16, 0.08
398, -0.44, 0.36, 0.12
399, -0.36, 0.04, 0.04
400, -0.52, 1.96, -0.28
401, -0.6, 0.04, -0.04
402, -0.68, 0.36, 0.12
403, -0.44, 0, 0
404, -0.44, 0.04, -0.04
405, -0.6, 1.44, -0.24
406, -0.52, 0.16, -0.08
407, -0.44, 0.16, 0.08
408, -0.52, 4.84, 0.44
409, -0.2, 2.56, 0.32
410, -0.28, 1, 0.2
411, -0.52, 1.44, 0.24
412, -0.68, 1.44, 0.24
413, -0.52, 0.36, 0.12
414, -0.36, 0.04, 0.04
415, -0.36, 0.36, -0.12
416, -0.44, 0.64, -0.16
417, -0.52, 0.04, 0.04
418, -0.36, 0.64, 0.16
419, -0.44, 0.04, -0.04
420, -0.04, 1, 0.2
421, -0.28, 1.96, 0.28
422, -0.36, 1, 0.2
423, -0.6, 1.44, 0.24
424, -0.68, 0.16, 0.08
425, -0.6, 0.16, 0.08
426, -0.44, 1, 0.2
427, -0.6, 0.64, -0.16
428, -0.44, 2.56, -0.32
429, -0.2, 0.36, -0.12
430, -0.36, 0.04, -0.04
431, -0.36, 0.36, 0.12
432, -0.52, 0.16, -0.08
433, -0.36, 0.16, -0.08
434, -0.44, 0.16, 0.08
435, -0.44, 0.16, 0.08
436, -0.28, 1.96, -0.28
437, -0.36, 1.44, -0.24
438, -0.44, 0.64, -0.16
439, -0.36, 2.56, -0.32
440, -0.2, 1, 0.2
441, -0.44, 0, 0
442, -0.44, 0.04, 0.04
443, -0.12, 0.04, -0.04
444, -0.36, 0, 0
445, -0.52, 0, 0
446, -0.44, 1, -0.2
447, -0.44, 0.04, 0.04
448, -0.36, 0.04, -0.04
449, -0.6, 0.16, 0.08
450, -0.6, 5.76, -0.48
451, -0.68, 2.56, -0.32
452, -0.6, 7.84, -0.56
453, -0.52, 6.76, -0.52
454, -0.28, 0.04, 0.04
455, -0.28, 2.56, -0.32
456, -0.44, 2.56, -0.32
457, -0.28, 0.64, -0.16
458, -0.36, 0.64, -0.16
459, -0.6, 0.04, -0.04
460, -0.6, 1.96, -0.28
461, -0.44, 1, -0.2
462, -0.36, 0.04, -0.04
463, -0.68, 0.04, -0.04
464, -0.44, 1.44, -0.24
465, -0.44, 0.64, 0.16
466, -0.44, 3.24, 0.36
467, -0.6, 3.24, 0.36
468, -0.2, 1, 0.2
469, -0.44, 2.56, 0.32
470, -0.6, 0.64, 0.16
471, -0.52, 1, 0.2
472, -0.44, 3.24, 0.36
473, -0.44, 1, 0.2
474, -0.44, 0.64, 0.16
475, -0.28, 0.04, 0.04
476, -0.44, 0.16, 0.08
477, -0.52, 0.16, -0.08
478, -0.44, 0.36, -0.12
479, -0.6, 0, 0
480, -0.52, 0.16, -0.08
481, -0.52, 1, -0.2
482, -0.52, 0.64, -0.16
483, -0.68, 0.04, -0.04
484, -0.2, 1, 0.2
485, -0.6, 1.96, 0.28
486, -0.44, 1.96, 0.28
487, -0.28, 1.96, 0.28
488, -0.44, 5.76, 0.48
489, -0.44, 4.84, 0.44
490, -0.28, 0.04, 0.04
491, -0.36, 1.44, 0.24
492, -0.52, 4.84, 0.44
493, -0.44, 0.36, 0.12
494, -0.36, 1.44, 0.24
495, -0.36, 1.44, 0.24
496, -0.36, 0.04, -0.04
497, -0.52, 0.16, -0.08
498, -0.52, 1.96, -0.28
499, -0.2, 0.16, 0.08
500, -0.52, 0.16, -0.08
501, -0.6, 4.84, -0.44
502, -0.36, 0.64, -0.16
503, -0.6, 2.56, -0.32
504, -0.6, 3.24, -0.36
505, -0.36, 1, -0.2
506, -0.52, 1, -0.2
507, -0.68, 0, 0
508, -0.6, 0.36, 0.12
509, -0.36, 0.64, 0.16
510, -0.36, 0.16, 0.08
511, -0.44, 0.16, -0.08
512, -0.44, 0.04, -0.04
513, -0.68, 4.84, -0.44
514, -0.44, 2.56, -0.32
515, -0.6, 1, -0.2
516, -0.44, 1.96, -0.28
517, -0.28, 1.96, -0.28
518, -0.28, 1, -0.2
519, -0.36, 0, 0
520, -0.52, 1, 0.2
521, -0.36, 0.36, 0.12
522, -0.28, 0.16, 0.08
523, -0.76, 0.64, -0.16
524, -0.52, 1, -0.2
525, -0.6, 0.36, -0.12
526, -0.52, 1, -0.2
527, -0.6, 4, -0.4
528, -0.6, 4, -0.4
529, -0.52, 12.96, -0.72
530, -0.76, 14.44, -0.76
531, -0.76, 2.56, -0.32
532, -0.6, 1, -0.2
533, -0.6, 0.16, 0.08
534, -0.52, 0.04, 0.04
535, -0.44, 0.16, -0.08
536, -0.36, 0.36, -0.12
537, -0.6, 0, 0
538, -0.6, 0.04, -0.04
539, -0.44, 2.56, -0.32
540, -0.36, 0.64, -0.16
541, -0.44, 1.96, 0.28
542, -0.36, 2.56, 0.32
543, -0.36, 2.56, 0.32
544, -0.12, 0.16, 0.08
545, -0.28, 0, 0
546, -0.28, 0.04, 0.04
547, -0.52, 0.16, -0.08
548, -0.52, 0.64, 0.16
549, -0.44, 0.04, 0.04
550, -0.36, 0.64, 0.16
551, -0.44, 0.64, 0.16
552, -0.6, 0.36, 0.12
553, -0.76, 0.64, 0.16
554, -0.28, 1, -0.2
555, -0.44, 1, -0.2
556, -0.52, 0, 0
557, -0.52, 0.16, -0.08
558, -0.28, 0.04, -0.04
559, -0.44, 0.16, -0.08
560, -0.52, 0.04, -0.04
561, -0.6, 1, -0.2
562, -0.6, 1.96, -0.28
563, -0.44, 1, -0.2
564, -0.2, 1.44, -0.24
565, -0.44, 1.44, -0.24
566, -0.28, 1.96, -0.28
567, -0.6, 1.44, -0.24
568, -0.68, 2.56, -0.32
569, -0.6, 0.64, -0.16
570, -0.68, 0.64, -0.16
571, -0.44, 1, -0.2
572, -0.36, 1.96, -0.28
573, -0.28, 3.24, -0.36
574, -0.36, 1.44, -0.24
575, -0.6, 0.04, -0.04
576, -0.6, 0.36, -0.12
577, -0.52, 0, 0
578, -0.44, 0.04, -0.04
579, -0.52, 0.16, 0.08
580, -0.44, 0.16, 0.08
581, -0.44, 0.36, 0.12
582, -0.6, 0.16, -0.08
583, -0.6, 0.04, 0.04
584, -0.52, 1.96, -0.28
585, -0.36, 0.64, -0.16
586, -0.52, 0.36, -0.12
587, -0.52, 1.44, -0.24
588, -0.28, 1.44, -0.24
589, -0.68, 1, -0.2
590, -0.76, 1.44, -0.24
591, -0.52, 1.44, -0.24
592, -0.44, 0.04, 0.04
593, -0.36, 0.36, 0.12
594, -0.52, 0.36, 0.12
595, -0.6, 5.76, -0.48
596, -0.6, 5.76, -0.48
597, -0.68, 3.24, -0.36
598, -0.6, 0.64, -0.16
599, -0.52, 0.16, 0.08
600, -0.68, 0.36, 0.12
601, -0.76, 0.64, 0.16
602, -0.6, 0.64, -0.16
603, -0.52, 0, 0
604, -0.44, 1.44, -0.24
605, -0.68, 2.56, -0.32
606, -0.36, 0.36, -0.12
607, -0.36, 4, 0.4
608, -0.52, 9, 0.6
609, -0.6, 7.84, 0.56
610, -0.68, 12.96, 0.72
611, -0.52, 5.76, 0.48
612, -0.52, 3.24, 0.36
613, -0.68, 7.84, 0.56
614, -0.36, 0.36, 0.12
615, -0.6, 1.44, 0.24
616, -0.36, 0, 0
617, -0.36, 1, -0.2
618, -0.52, 1.44, 0.24
619, -0.52, 0.16, 0.08
620, -0.52, 0, 0
621, -0.52, 0.16, 0.08
622, -0.52, 0.64, 0.16
623, -0.52, 1.96, 0.28
624, -0.36, 1, 0.2
625, -0.28, 0.36, -0.12
626, -0.28, 0.16, -0.08
627, -0.6, 2.56, -0.32
628, -0.6, 0.64, -0.16
629, -0.36, 0.16, -0.08
630, -0.44, 1, -0.2
631, -0.36, 1.96, -0.28
632, -0.36, 1.44, -0.24
633, -0.36, 0.04, -0.04
634, -0.36, 0.64, -0.16
635, -0.36, 0.16, -0.08
636, -0.2, 0, 0
637, -0.36, 3.24, -0.36
638, -0.44, 0.04, -0.04
639, -0.52, 0.16, 0.08
640, -0.52, 0.04, -0.04
641, -0.44, 4.84, 0.44
642, -0.52, 4.84, 0.44
643, -0.52, 1.44, 0.24
644, -0.44, 2.56, 0.32
645, -0.52, 3.24, 0.36
646, -0.44, 2.56, 0.32
647, -0.28, 2.56, 0.32
648, -0.44, 0.16, -0.08
649, -0.36, 0.16, -0.08
650, -0.52, 0.64, -0.16
651, -0.6, 0.16, -0.08
652, -0.52, 0.36, -0.12
653, -0.6, 0.16, 0.08
654, -0.76, 1.44, 0.24
655, -0.6, 5.76, 0.48
656, -0.36, 1.96, 0.28
657, -0.52, 3.24, 0.36
658, -0.52, 1.96, 0.28
659, -0.68, 0.16, 0.08
660, -0.36, 1.44, 0.24
661, -0.36, 0, 0
662, -0.6, 0.36, -0.12
663, -0.52, 1, -0.2
664, -0.44, 2.56, -0.32
665, -0.52, 0.64, -0.16
666, -0.28, 0.16, 0.08
667, -0.28, 0.36, 0.12
668, -0.28, 0, 0
669, -0.44, 0.64, 0.16
670, -0.52, 0, 0
671, -0.6, 1.44, 0.24
672, -0.6, 1.44, 0.24
673, -0.68, 0.36, -0.12
674, -0.52, 0.16, -0.08
675, -0.52, 1, -0.2
676, -0.2, 0.36, -0.12
677, -0.44, 0, 0
678, -0.52, 0.16, -0.08
679, -0.28, 0.36, 0.12
680, -0.36, 0.04, 0.04
681, -0.52, 0.16, -0.08
682, -0.44, 0.36, -0.12
683, -0.52, 0.16, -0.08
684, -0.52, 0.04, -0.04
685, -0.44, 0.04, -0.04
686, -0.52, 0.16, 0.08
687, -0.44, 0.64, -0.16
688, -0.44, 0, 0
689, -0.28, 0.04, 0.04
690, -0.28, 1, -0.2
691, -0.28, 0.04, 0.04
692, -0.44, 0.64, 0.16
693, -0.36, 1.44, 0.24
694, -0.44, 0.16, -0.08
695, -0.28, 0, 0
696, -0.28, 1.96, -0.28
697, -0.36, 1.96, -0.28
698, -0.44, 6.76, -0.52
699, -0.44, 1.44, -0.24
700, -0.28, 0, 0
701, -0.36, 0.04, -0.04
702, -0.36, 0.16, -0.08
703, -0.52, 0.16, -0.08
704, -0.6, 0, 0
705, -0.28, 0.04, 0.04
706, -0.28, 0, 0
707, -0.52, 4, 0.4
708, -0.52, 0.36, 0.12
709, -0.28, 0.64, 0.16
