M, u(M), chi(M), m(M)
489, -0.68, 0.16, -0.08
490, -0.52, 2.56, -0.32
491, -0.36, 1.96, -0.28
492, -0.36, 1, -0.2
493, -0.52, 0.04, -0.04
494, -0.52, 0.16, -0.08
495, -0.6, 1.96, -0.28
496, -0.36, 1.44, -0.24
497, -0.52, 0.64, -0.16
498, -0.52, 0.64, -0.16
499, -0.44, 0.36, -0.12
500, -0.44, 0.64, -0.16
501, -0.44, 0, 0
502, -0.2, 0.64, -0.16
503, -0.44, 0.04, -0.04
504, -0.6, 0.16, 0.08
505, -0.68, 1, 0.2
506, -0.76, 4.84, 0.44
507, -0.68, 4, 0.4
508, -0.6, 0.36, 0.12
509, -0.6, 0.04, 0.04
510, -0.28, 0.04, 0.04
511, -0.36, 0.64, -0.16
512, -0.2, 1, -0.2
513, -0.28, 1.96, -0.28
514, -0.28, 0.64, -0.16
515, -0.52, 4, -0.4
516, -0.52, 1.96, -0.28
517, -0.28, 0.16, -0.08
518, -0.52, 0.04, 0.04
519, -0.52, 1, 0.2
520, -0.36, 1, 0.2
521, -0.52, 3.24, 0.36
522, -0.68, 10.24, 0.64
523, -0.44, 4.84, 0.44
524, -0.36, 4, 0.4
525, -0.6, 7.84, 0.56
526, -0.52, 9, 0.6
527, -0.44, 7.84, 0.56
528, -0.52, 4, 0.4
529, -0.44, 0.64, 0.16
530, -0.44, 9, 0.6
531, -0.68, 7.84, 0.56
532, -0.6, 10.24, 0.64
533, -0.76, 12.96, 0.72
534, -0.76, 16, 0.8
535, -0.76, 10.24, 0.64
536, -0.6, 9, 0.6
537, -0.76, 9, 0.6
538, -0.68, 11.56, 0.68
539, -0.44, 1.44, 0.24
540, -0.36, 1, 0.2
541, -0.36, 1.44, 0.24
542, -0.52, 0.64, 0.16
543, -0.36, 0.04, -0.04
544, -0.2, 0.04, 0.04
545, -0.44, 0.16, -0.08
546, -0.6, 0, 0
547, -0.36, 0.64, 0.16
548, -0.36, 0.16, 0.08
549, -0.52, 0.64, 0.16
550, -0.6, 1, 0.2
551, -0.6, 1, 0.2
552, -0.44, 4, 0.4
553, -0.28, 1.96, 0.28
554, -0.28, 0.04, 0.04
555, -0.28, 1.96, -0.28
556, -0.36, 0.16, -0.08
557, -0.28, 0.36, -0.12
558, -0.44, 0.64, 0.16
559, -0.52, 1.44, 0.24
560, -0.28, 0.16, 0.08
561, -0.52, 0.04, -0.04
562, -0.36, 1.44, -0.24
563, -0.12, 0.04, -0.04
564, -0.44, 4, -0.4
565, -0.44, 0.64, -0.16
566, -0.52, 1, -0.2
567, -0.6, 1.96, -0.28
568, -0.44, 0.04, -0.04
569, -0.44, 1, -0.2
570, -0.36, 0.04, -0.04
571, -0.28, 0, 0
572, -0.36, 0.16, -0.08
573, -0.36, 1, 0.2
574, -0.6, 1.44, 0.24
575, -0.52, 3.24, 0.36
576, -0.44, 5.76, 0.48
577, -0.44, 2.56, 0.32
578, -0.44, 4, 0.4
579, -0.36, 1.96, 0.28
580, -0.52, 2.56, 0.32
581, -0.36, 4, 0.4
582, -0.44, 0.64, 0.16
583, -0.44, 0.04, -0.04
584, -0.52, 0.36, -0.12
585, -0.52, 0.36, -0.12
586, -0.52, 1.44, -0.24
587, -0.44, 0.04, -0.04
588, -0.36, 1.96, -0.28
589, -0.28, 0.16, -0.08
590, -0.6, 0.04, 0.04
591, -0.36, 0.16, -0.08
592, -0.6, 0.04, 0.04
593, -0.52, 1, 0.2
594, -0.52, 1, 0.2
595, -0.52, 0.64, 0.16
596, -0.68, 0.16, -0.08
597, -0.28, 0.04, -0.04
598, -0.44, 1, -0.2
