beta, l1
91.3828, 10.6054
91.5832, 10.6054
91.7836, 10.6054
91.984, 10.6054
92.1844, 10.6054
92.3848, 10.6054
92.5852, 10.6054
92.7856, 10.6054
92.986, 10.6054
93.1864, 10.6054
93.3868, 10.6054
93.5872, 10.6054
93.7876, 10.6054
93.988, 10.6054
94.1884, 10.6054
94.3888, 10.6054
94.5892, 10.6054
94.7896, 10.6054
94.99, 10.6054
95.1904, 10.6054
95.3908, 10.6054
95.5912, 10.6313
95.7916, 10.6054
95.992, 10.6054
96.1924, 10.6054
96.3928, 10.6054
96.5932, 10.6054
96.7936, 10.6054
96.994, 10.6054
97.1944, 10.6054
97.3948, 10.6054
97.5952, 10.6054
97.7956, 10.6054
97.996, 10.6054
98.1964, 10.6054
98.3968, 10.6054
98.5972, 10.6054
98.7976, 10.6054
98.998, 10.6054
99.1984, 10.6054
99.3988, 10.6054
99.5992, 10.6054
99.7996, 10.6054
100, 10.6313
